Feature,Importance
3yr On-Ice SV%,-0.001337573558971683
mean iHDCF,-0.0013983135306305794
sum Hits Taken,-0.0014481229816278862
Shots Blocked/60,-0.001488474692115771
PDO,-0.001648224697248013
mean Total Points,-0.0017223253646005965
3yr Neu. Zone Starts/60,-0.0018009297125871626
mean PIM,-0.0020509448500025673
MDCF/60 Rel,-0.002101747515469876
3yr LDGF% Rel,-0.002184741268528523
3yr LDGF/60 Rel,-0.0023031922885305978
Giveaways,-0.002406279976348902
Total Points,-0.0025497260168478864
sum Total Points,-0.002607845532317077
Goals/60,-0.002693566821399762
3yr HDGF% Rel,-0.0027346780386362513
mean Total Assists,-0.0027452919224848493
HDGF/60 Rel,-0.0029766683905125824
3yr SF/60 Rel,-0.0037591041712270457
Off Zone Faceoff %,-0.005261763157811128
