Feature,Importance
sum Hits,-0.0007758568712239455
mean Total Penalties,-0.0008303520328936109
Giveaways,-0.0008393030262425771
3yr Off. Zone Start %,-0.0009044799682976778
Rebounds Created,-0.0011541782581011573
3yr LDGF% Rel,-0.0013800681696392036
3yr FA/60 Rel,-0.0016092117192506583
Takeaways,-0.001763838946221119
mean Takeaways,-0.001772655217147312
mean PIM,-0.0019668311041586284
mean Penalties Drawn,-0.0021533603353965924
Shots Blocked/60,-0.00232462154576063
sum Shots Blocked,-0.002416540565535419
sum Takeaways,-0.0034477007020118355
sum Rebounds Created,-0.0037433552233986367
